audit_id,title,department,status
1,Audit 1,Engineering,Under Review
2,Audit 2,Sales,Completed
3,Audit 3,Sales,Under Review
4,Audit 4,Manufacturing,Scheduled
5,Audit 5,Engineering,Scheduled
6,Audit 6,Logistics,Completed
7,Audit 7,Logistics,Under Review
8,Audit 8,Sales,Under Review
9,Audit 9,Procurement,Completed
10,Audit 10,Manufacturing,Under Review
11,Audit 11,Sales,Scheduled
12,Audit 12,Manufacturing,Under Review
13,Audit 13,Finance,Under Review
14,Audit 14,Procurement,Under Review
15,Audit 15,Operations,Under Review
16,Audit 16,Logistics,Scheduled
17,Audit 17,Logistics,Completed
18,Audit 18,Engineering,Scheduled
19,Audit 19,Manufacturing,Under Review
20,Audit 20,Operations,Completed
