transaction_id,source,department,co2_kg,date
1,Electricity,Operations,8.99,2026-02-03
2,Manufacturing,Manufacturing,89.61,2026-06-26
3,Electricity,Engineering,70.79,2026-09-18
4,Travel,Manufacturing,49.89,2026-11-25
5,Manufacturing,Engineering,116.24,2026-10-10
6,Travel,Manufacturing,69.77,2026-04-05
7,Water,Operations,27.69,2026-02-12
8,Purchase,Sales,14.67,2026-05-19
9,Electricity,Finance,101.57,2026-10-20
10,Water,Engineering,73.47,2026-11-27
11,Water,Procurement,4.45,2026-05-23
12,Travel,Sales,42.77,2026-03-28
13,Electricity,Finance,9.28,2026-12-21
14,Fleet,Manufacturing,89.79,2026-04-13
15,Manufacturing,Operations,41.57,2026-06-10
16,Water,Sales,93.44,2026-10-20
17,Fleet,Engineering,19.51,2026-10-02
18,Water,Manufacturing,33.38,2026-11-14
19,Manufacturing,Operations,50.29,2026-04-25
20,Purchase,Manufacturing,42.08,2026-02-10
21,Water,Operations,63.71,2026-05-02
22,Electricity,Finance,118.15,2026-01-01
23,Electricity,Procurement,113.49,2026-03-25
24,Travel,Procurement,40.05,2026-01-16
25,Water,Finance,21.91,2026-07-18
26,Water,HR,60.53,2026-11-26
27,Travel,Manufacturing,48.25,2026-12-02
28,Manufacturing,Engineering,55.71,2026-02-28
29,Travel,Finance,69.23,2026-12-21
30,Manufacturing,Procurement,14.71,2026-01-11
31,Electricity,Operations,100.01,2026-06-03
32,Manufacturing,Manufacturing,29.95,2026-10-13
33,Purchase,Manufacturing,48.1,2026-05-24
34,Travel,HR,40.64,2026-03-03
35,Purchase,Manufacturing,64.14,2026-04-25
36,Travel,Sales,87.56,2026-11-27
37,Electricity,HR,13.23,2026-05-07
38,Electricity,Logistics,91.47,2026-11-03
39,Electricity,Operations,56.21,2026-10-25
40,Purchase,Operations,82.05,2026-10-21
41,Water,Sales,103.85,2026-11-11
42,Electricity,Operations,9.13,2026-08-21
43,Travel,Procurement,71.38,2026-06-17
44,Fleet,Procurement,55.95,2026-01-02
45,Travel,Procurement,10.13,2026-02-20
46,Purchase,Finance,56.06,2026-09-26
47,Water,Engineering,54.52,2026-10-21
48,Electricity,Sales,73.0,2026-09-05
49,Fleet,Operations,13.32,2026-06-23
50,Fleet,Logistics,5.66,2026-12-15
51,Manufacturing,Logistics,44.3,2026-05-13
52,Manufacturing,Sales,81.79,2026-01-26
53,Water,Sales,8.84,2026-02-18
54,Water,Finance,34.81,2026-12-28
55,Water,Logistics,40.67,2026-10-22
56,Electricity,Sales,37.92,2026-11-23
57,Water,Finance,16.35,2026-12-03
58,Travel,Finance,77.58,2026-06-27
59,Electricity,Manufacturing,77.88,2026-07-17
60,Travel,Engineering,44.15,2026-03-07
61,Travel,Operations,23.85,2026-03-05
62,Fleet,Procurement,101.49,2026-02-17
63,Purchase,Engineering,79.77,2026-10-05
64,Purchase,Finance,19.36,2026-03-27
65,Water,Logistics,86.82,2026-01-14
66,Travel,HR,116.38,2026-10-10
67,Water,Operations,28.85,2026-04-10
68,Manufacturing,HR,44.77,2026-10-15
69,Manufacturing,Procurement,93.6,2026-09-17
70,Manufacturing,Logistics,98.21,2026-10-05
71,Travel,Engineering,77.3,2026-06-18
72,Fleet,Manufacturing,34.92,2026-03-09
73,Manufacturing,Logistics,99.89,2026-02-08
74,Manufacturing,Sales,111.73,2026-07-02
75,Manufacturing,Sales,29.06,2026-02-12
76,Electricity,Engineering,38.92,2026-02-27
77,Water,Sales,95.17,2026-03-02
78,Travel,Operations,83.83,2026-03-25
79,Water,Operations,54.38,2026-01-03
80,Fleet,Procurement,26.66,2026-03-18
81,Water,Finance,14.23,2026-05-08
82,Travel,Manufacturing,6.68,2026-07-21
83,Purchase,Operations,8.47,2026-08-20
84,Purchase,Engineering,76.2,2026-10-08
85,Water,Logistics,35.66,2026-01-20
86,Travel,HR,68.91,2026-03-22
87,Water,Manufacturing,63.29,2026-06-03
88,Purchase,Engineering,47.46,2026-08-02
89,Water,Finance,117.74,2026-05-24
90,Fleet,Sales,94.83,2026-06-08
91,Water,Manufacturing,92.81,2026-12-25
92,Travel,Logistics,6.28,2026-09-11
93,Water,Logistics,99.82,2026-11-15
94,Water,Operations,76.18,2026-03-03
95,Water,Operations,5.4,2026-04-02
96,Electricity,Engineering,38.56,2026-05-17
97,Manufacturing,Operations,31.14,2026-11-07
98,Travel,Sales,103.59,2026-01-28
99,Water,Sales,33.51,2026-06-14
100,Manufacturing,Operations,107.46,2026-07-11
101,Electricity,Operations,83.36,2026-06-26
102,Purchase,Procurement,96.34,2026-12-14
103,Fleet,Finance,72.69,2026-03-18
104,Travel,Sales,13.21,2026-06-22
105,Travel,Procurement,54.06,2026-12-14
106,Electricity,Operations,42.83,2026-01-24
107,Travel,Finance,33.67,2026-01-03
108,Water,Finance,44.23,2026-12-22
109,Electricity,Engineering,17.99,2026-10-22
110,Manufacturing,Engineering,16.02,2026-04-25
111,Water,Sales,44.1,2026-10-02
112,Purchase,Logistics,81.81,2026-06-12
113,Manufacturing,Manufacturing,69.3,2026-09-12
114,Manufacturing,Sales,78.3,2026-04-04
115,Fleet,Logistics,60.39,2026-07-18
116,Fleet,Procurement,93.22,2026-12-15
117,Electricity,Procurement,83.58,2026-08-07
118,Fleet,Logistics,102.49,2026-08-06
119,Water,Operations,119.67,2026-11-28
120,Travel,Sales,85.44,2026-09-18
121,Travel,Procurement,102.31,2026-12-23
122,Water,Logistics,95.45,2026-09-08
123,Fleet,HR,95.26,2026-04-26
124,Manufacturing,Engineering,43.95,2026-10-12
125,Manufacturing,Logistics,73.82,2026-02-03
126,Travel,Finance,119.95,2026-12-16
127,Purchase,Finance,92.53,2026-10-03
128,Electricity,Sales,77.44,2026-08-15
129,Water,Sales,16.27,2026-09-21
130,Purchase,Logistics,92.37,2026-03-14
131,Purchase,Engineering,99.94,2026-09-05
132,Travel,Logistics,20.27,2026-12-08
133,Travel,Procurement,101.67,2026-05-07
134,Water,Procurement,15.9,2026-05-20
135,Purchase,Manufacturing,60.81,2026-03-19
136,Purchase,Logistics,21.37,2026-10-24
137,Purchase,Sales,101.26,2026-10-02
138,Fleet,Manufacturing,6.41,2026-11-25
139,Purchase,Procurement,78.48,2026-10-14
140,Purchase,Engineering,60.27,2026-11-18
141,Travel,Procurement,58.47,2026-11-13
142,Travel,Operations,9.68,2026-01-06
143,Manufacturing,Finance,58.63,2026-04-11
144,Purchase,Logistics,38.2,2026-12-11
145,Water,Sales,117.07,2026-03-25
146,Travel,Manufacturing,38.97,2026-08-04
147,Travel,Operations,30.5,2026-02-02
148,Travel,Finance,103.84,2026-07-08
149,Electricity,Sales,112.12,2026-12-11
150,Electricity,Logistics,60.29,2026-09-15
151,Manufacturing,Procurement,60.19,2026-02-13
152,Purchase,Operations,116.04,2026-04-19
153,Travel,Engineering,7.01,2026-08-20
154,Water,Operations,35.0,2026-01-28
155,Fleet,Finance,16.94,2026-05-24
156,Travel,Finance,44.55,2026-07-02
157,Purchase,HR,44.14,2026-05-03
158,Manufacturing,Operations,91.96,2026-05-27
159,Purchase,Manufacturing,16.31,2026-02-13
160,Travel,Sales,67.38,2026-06-25
161,Electricity,HR,72.69,2026-07-17
162,Fleet,Engineering,5.63,2026-12-11
163,Manufacturing,Operations,18.72,2026-09-05
164,Travel,Sales,20.34,2026-10-24
165,Travel,Sales,61.37,2026-09-18
166,Manufacturing,Procurement,57.51,2026-01-12
167,Travel,Manufacturing,117.61,2026-10-10
168,Water,Engineering,72.03,2026-05-21
169,Purchase,HR,86.85,2026-10-16
170,Electricity,Finance,18.59,2026-11-08
171,Fleet,Manufacturing,23.7,2026-08-11
172,Manufacturing,Logistics,50.14,2026-04-14
173,Purchase,Operations,104.87,2026-12-24
174,Fleet,Logistics,62.72,2026-09-11
175,Water,Operations,63.53,2026-06-06
176,Manufacturing,Sales,66.01,2026-11-25
177,Water,Procurement,73.6,2026-04-08
178,Travel,Procurement,27.76,2026-05-25
179,Travel,HR,83.14,2026-08-11
180,Manufacturing,Sales,67.7,2026-12-09
181,Travel,Manufacturing,69.24,2026-09-13
182,Manufacturing,Sales,114.6,2026-03-10
183,Fleet,Procurement,114.68,2026-02-12
184,Manufacturing,Procurement,89.93,2026-04-07
185,Purchase,Procurement,112.03,2026-12-09
186,Electricity,Manufacturing,74.27,2026-10-08
187,Electricity,Engineering,80.71,2026-09-08
188,Water,HR,7.25,2026-07-11
189,Water,Operations,12.96,2026-03-01
190,Purchase,Logistics,49.42,2026-08-16
191,Water,HR,90.95,2026-05-11
192,Travel,Engineering,109.04,2026-02-21
193,Purchase,HR,64.68,2026-12-28
194,Fleet,Logistics,50.73,2026-03-02
195,Manufacturing,Operations,23.17,2026-12-28
196,Travel,Engineering,2.1,2026-10-20
197,Fleet,Sales,34.86,2026-11-18
198,Purchase,Operations,106.82,2026-03-28
199,Purchase,Operations,33.47,2026-02-11
200,Electricity,Operations,78.15,2026-12-06
201,Fleet,Sales,95.1,2026-10-22
202,Electricity,Logistics,73.7,2026-11-13
203,Manufacturing,Sales,11.32,2026-11-04
204,Electricity,Logistics,57.82,2026-04-01
205,Travel,Finance,29.03,2026-05-11
206,Travel,Engineering,32.12,2026-06-23
207,Electricity,Engineering,80.47,2026-08-10
208,Electricity,Finance,82.64,2026-12-25
209,Travel,Manufacturing,77.01,2026-05-12
210,Purchase,HR,27.08,2026-03-16
211,Electricity,Operations,89.98,2026-10-12
212,Manufacturing,Operations,91.12,2026-11-27
213,Electricity,HR,81.96,2026-10-28
214,Fleet,Operations,63.85,2026-06-03
215,Purchase,Manufacturing,8.35,2026-09-17
216,Electricity,Logistics,20.58,2026-09-15
217,Fleet,HR,86.31,2026-08-03
