issue_id,title,severity,department,status
1,Compliance Issue 1,High,Operations,Open
2,Compliance Issue 2,High,Finance,Resolved
3,Compliance Issue 3,High,Engineering,Open
4,Compliance Issue 4,Medium,Operations,Open
5,Compliance Issue 5,Medium,Operations,Open
6,Compliance Issue 6,Low,Procurement,Resolved
7,Compliance Issue 7,Low,HR,Resolved
8,Compliance Issue 8,High,Manufacturing,Resolved
9,Compliance Issue 9,High,HR,Resolved
10,Compliance Issue 10,Medium,Finance,Open
11,Compliance Issue 11,High,Engineering,Open
12,Compliance Issue 12,High,Logistics,Resolved
13,Compliance Issue 13,Medium,Logistics,Open
14,Compliance Issue 14,Medium,Sales,Open
15,Compliance Issue 15,Medium,Procurement,Open
16,Compliance Issue 16,High,HR,Resolved
17,Compliance Issue 17,Medium,HR,Open
18,Compliance Issue 18,Medium,Operations,Resolved
19,Compliance Issue 19,Low,Operations,Resolved
20,Compliance Issue 20,Medium,Manufacturing,Resolved
21,Compliance Issue 21,High,Engineering,Open
22,Compliance Issue 22,Medium,Finance,Open
23,Compliance Issue 23,High,Engineering,Open
24,Compliance Issue 24,High,Procurement,Open
25,Compliance Issue 25,High,Operations,Resolved
26,Compliance Issue 26,Medium,Engineering,Open
27,Compliance Issue 27,Medium,Sales,Resolved
28,Compliance Issue 28,High,Sales,Resolved
29,Compliance Issue 29,Low,Manufacturing,Open
30,Compliance Issue 30,Low,Sales,Resolved
31,Compliance Issue 31,High,Procurement,Resolved
32,Compliance Issue 32,High,Manufacturing,Open
33,Compliance Issue 33,Low,Operations,Open
34,Compliance Issue 34,High,Finance,Open
35,Compliance Issue 35,Medium,HR,Open
