participation_id,user_id,activity_id,approval_status,points_earned,completion_date
1,58,12,Pending,100,2026-09-22
2,7,12,Rejected,50,2026-12-24
3,10,8,Pending,30,2026-11-01
4,12,24,Approved,50,2026-09-09
5,11,23,Pending,50,2026-08-28
6,31,8,Pending,50,2026-10-10
7,53,8,Pending,0,2026-09-13
8,22,9,Pending,40,2026-10-21
9,33,13,Rejected,75,2026-10-01
10,8,9,Pending,75,2026-10-02
11,7,20,Approved,40,2026-10-14
12,39,17,Pending,50,2026-12-07
13,17,2,Rejected,50,2026-08-17
14,60,18,Rejected,100,2026-09-12
15,28,3,Rejected,40,2026-12-11
16,43,4,Rejected,40,2026-12-10
17,43,14,Approved,50,2026-10-18
18,9,7,Approved,100,2026-11-22
19,48,6,Rejected,75,2026-10-13
20,36,1,Approved,40,2026-09-14
21,51,19,Rejected,100,2026-10-15
22,29,15,Rejected,30,2026-12-16
23,51,24,Pending,100,2026-08-10
24,33,22,Rejected,75,2026-10-03
25,53,25,Pending,100,2026-10-08
26,52,7,Pending,0,2026-08-08
27,31,20,Pending,50,2026-11-21
28,37,7,Rejected,100,2026-11-16
29,26,8,Pending,100,2026-08-25
30,56,25,Pending,50,2026-09-06
31,52,23,Rejected,50,2026-08-18
32,16,4,Approved,30,2026-11-22
33,34,18,Rejected,40,2026-11-20
34,53,24,Rejected,50,2026-12-15
35,58,6,Rejected,50,2026-11-09
36,49,8,Rejected,40,2026-12-16
37,41,8,Approved,50,2026-08-23
38,19,8,Approved,40,2026-10-18
39,6,5,Pending,30,2026-11-23
40,10,23,Pending,0,2026-11-14
41,22,18,Approved,50,2026-08-07
42,54,14,Approved,75,2026-08-28
43,57,25,Rejected,50,2026-11-01
44,23,10,Approved,50,2026-12-24
45,48,18,Rejected,30,2026-11-08
46,18,14,Approved,0,2026-11-11
47,43,22,Approved,100,2026-09-27
48,30,5,Rejected,75,2026-08-13
49,38,19,Rejected,0,2026-08-21
50,28,5,Approved,30,2026-08-09
51,25,11,Pending,50,2026-10-11
52,49,13,Approved,50,2026-10-27
53,6,16,Pending,100,2026-12-02
54,23,8,Rejected,0,2026-08-25
55,2,8,Pending,0,2026-12-05
56,16,5,Approved,100,2026-08-19
57,14,15,Rejected,40,2026-10-06
58,39,20,Rejected,100,2026-08-25
59,53,6,Approved,0,2026-12-01
60,60,10,Rejected,100,2026-11-13
61,46,7,Pending,75,2026-09-04
62,45,25,Approved,100,2026-12-26
63,8,19,Pending,40,2026-12-14
64,43,12,Pending,75,2026-10-01
65,55,14,Approved,0,2026-11-12
66,41,15,Rejected,30,2026-11-06
67,47,17,Rejected,40,2026-12-26
68,59,18,Approved,50,2026-11-27
69,47,19,Approved,40,2026-09-27
70,60,3,Approved,50,2026-09-25
71,30,19,Rejected,100,2026-11-11
72,2,16,Approved,30,2026-11-07
73,23,9,Approved,40,2026-12-23
74,57,9,Rejected,0,2026-12-07
75,6,8,Rejected,50,2026-11-18
76,49,8,Rejected,50,2026-11-15
77,51,1,Pending,40,2026-09-13
78,45,8,Approved,100,2026-12-12
79,31,18,Rejected,40,2026-11-24
80,36,11,Approved,100,2026-11-09
81,20,9,Pending,0,2026-09-11
82,8,24,Rejected,100,2026-09-07
83,14,24,Approved,40,2026-12-25
84,34,20,Approved,0,2026-09-10
85,15,12,Pending,40,2026-08-23
86,35,5,Approved,0,2026-08-18
87,19,23,Pending,100,2026-11-04
88,56,1,Rejected,40,2026-11-16
89,29,11,Pending,0,2026-10-28
90,31,4,Pending,50,2026-11-03
91,37,21,Rejected,0,2026-09-05
92,52,19,Approved,0,2026-09-04
93,36,25,Approved,75,2026-12-26
94,40,8,Rejected,50,2026-11-15
95,20,19,Approved,40,2026-12-20
96,4,20,Rejected,0,2026-09-21
97,14,9,Rejected,0,2026-09-08
98,12,18,Pending,30,2026-08-14
